"","ambpal","aneatr","aphful","aphpic","aphrud","aphten","aphtre","bradep","camame","camcar","camcas","camchr","camher","camnea","camnov","campen","carobs","crecer","crelin","dolmar","dolpla","dolpus","doltas","forarg","forase","forcre","fordif","fordir","fordol","forexs","forfos","forgla","forimp","forinc","forint","forkni","forlas","forneo1","forneo2","fornep","forobs","forpal","forper","forpod","forpro","forque","forref","forrub","forsub1","forsub2","forsub3","forulk","hyppun","lasali","lascla","lasfla","lasint","laslat","lasmin","lasnea","lasneo","laspal","lasspe","lassub1","lassub2","lasumb","lepcan","leperg","lepwil","monema","monpha","monvir","myrala","myrame1","myrame2","myrbre","myrdet","myreva","myrfra","myrinc","myrine","myrlat","myrlob","myrnea","myrpin","myrpun","myrrub","myrsca","myrscu","myrsem","myrsmi","nylfla","nylpar","phefla","phepil","polluc","ponpen","preimp","proame","prosil","pyrmet","pyrper","pyrpul","solmol","soltex","stebre","stedie","steimp","stesch","tapmel","tapses","tapspA","temamb","temcur","temlon","temsch","temtex","tetcae"
"forneo1",64,0,6,26,232,2,4,90,30,14,0,16,12,58,84,210,0,120,78,8,32,18,26,32,14,2,4,0,32,34,8,32,0,122,40,2,62,238,8,6,16,36,10,0,2,2,2,18,26,18,254,8,0,162,28,28,18,14,10,76,122,28,4,16,4,68,14,0,0,12,0,0,2,32,82,0,58,0,56,16,2,2,12,6,16,162,78,0,142,2,66,0,10,0,4,4,112,124,2,0,0,0,0,50,4,60,8,64,22,0,190,0,58,112,124,8,2,116
"forneo2",4,0,0,2,10,0,0,4,0,2,0,2,26,0,22,16,0,8,2,4,6,8,8,6,20,0,0,0,0,6,2,6,0,2,10,0,12,8,68,0,4,2,0,0,0,0,2,0,16,4,20,0,0,20,14,6,2,2,4,0,22,14,0,2,4,10,20,0,0,0,2,0,2,2,6,0,20,0,14,4,0,0,10,0,2,6,4,0,6,0,0,0,2,0,0,0,2,6,0,0,0,0,0,4,0,4,8,2,0,0,18,0,4,2,8,0,0,8
"fornep",0,0,2,2,8,0,0,2,2,2,0,0,4,4,6,6,0,4,4,2,2,2,4,0,0,0,0,0,4,2,0,0,0,6,8,2,2,6,0,10,4,2,2,0,0,0,0,2,2,2,6,0,0,4,2,2,2,4,2,0,6,0,2,0,2,4,2,0,0,2,0,0,0,2,4,0,4,0,2,2,0,0,0,2,2,6,0,0,2,2,2,0,2,0,0,2,2,4,0,0,0,0,0,4,0,2,2,0,0,0,6,0,2,2,0,0,0,0
"forobs",8,0,4,4,22,2,0,4,8,4,2,8,6,10,24,28,0,10,10,6,16,12,6,6,4,0,0,0,6,10,2,2,2,18,12,0,8,16,4,4,60,12,4,0,0,4,2,4,8,4,26,0,0,20,16,10,8,6,6,4,16,4,4,0,4,14,6,0,0,4,0,2,2,10,10,0,6,0,8,6,0,0,6,2,2,18,50,0,10,2,8,0,6,2,0,4,12,8,0,0,0,0,0,6,4,10,4,6,4,0,20,0,6,6,12,2,0,6
"forpal",10,0,4,12,44,0,4,6,22,2,8,18,4,14,36,54,0,10,16,6,8,6,12,10,0,0,4,0,16,16,0,0,2,48,10,2,20,36,2,2,12,92,8,0,0,4,0,4,8,6,58,0,0,22,20,10,10,6,2,10,36,2,4,6,2,24,2,0,0,20,2,2,0,16,28,0,2,0,8,4,0,0,2,2,4,32,0,0,18,2,28,0,12,0,6,8,16,36,0,0,0,0,0,20,0,6,2,0,0,0,32,0,4,18,14,6,0,30
"forper",4,0,4,2,16,0,2,2,6,2,2,12,2,12,10,20,0,4,8,0,4,6,6,2,0,0,4,0,2,4,0,0,0,14,8,0,4,10,0,2,4,8,26,0,0,2,0,4,4,2,18,0,0,14,8,8,8,6,2,10,14,2,2,2,2,20,6,0,0,4,0,0,0,8,14,0,8,0,6,4,0,0,4,8,6,12,0,0,6,2,6,0,4,0,0,4,8,6,0,0,0,0,0,2,0,6,2,2,0,0,16,0,10,10,8,4,0,12
"forpod",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"forpro",2,0,0,0,2,2,0,2,0,0,0,0,2,0,2,0,0,2,2,0,2,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,2,0,0,0,0,0,0,6,0,0,2,0,4,2,0,0,2,2,4,2,2,2,4,4,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"forque",0,0,0,2,6,0,0,0,6,0,2,4,0,4,2,10,0,2,4,4,8,2,2,2,0,0,0,0,6,8,0,0,2,2,2,0,4,2,0,0,4,4,2,0,0,30,0,4,0,4,6,0,0,4,4,2,4,2,0,0,6,0,2,0,0,10,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,6,2,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,2,4,0,0
"forref",2,0,0,2,0,0,0,2,0,2,0,0,2,0,2,2,0,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,0,0,2,0,2,2,2,0,2,0,0,0,0,0,2,0,2,0,2,0,0,2,2,2,2,0,2,0,2,2,0,0,2,2,2,0,0,0,0,0,0,0,2,0,2,0,2,2,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0,2
